"Ayckbourn_Jeeves" "Black_Boulevard" "Black_Express" "Black_Song" "Black_Sunday" "Black_Ward" "Eliot_Cats" "Elton_Game" "Hampton_Boulevard" "Hampton_Ward" "Harburg_Oz" "Hart_Aspects" "Hart_Love" "Hart_Phantom" "Maltby_Song" "Nunn_Cats" "Rice_Evita" "Rice_JCS" "Rice_Joseph" "Rice_Likes" "Rice_Oz" "Slater_Love" "Slater_Rock" "Steinman_Whistle" "Stilgoe_Cats" "Stilgoe_Express" "Stilgoe_Phantom" "Yazbek_Express" "Zippel_Woman"
"on" 0.75208165457964 0.768843860027305 0.56241426611797 0.386729086098107 0.348189415041783 0.568181818181818 0.603528319405757 0.919117647058823 0.768843860027305 0.568181818181818 0.33358042994811 0.435540069686411 0.48858204992034 0.319938571794216 0.386729086098107 0.603528319405757 0.898815198147896 0.573144104803493 0.378446566949 0.323101777059774 0.33358042994811 0.48858204992034 0.353713996968166 0.913081650570676 0.603528319405757 0.56241426611797 0.319938571794216 0.56241426611797 0.447693010507081
"he" 0.51034112275047 0.344901918516922 0.672153635116598 0.569916547934053 0.383008356545961 0 0.928505106778087 0.183823529411765 0.344901918516922 0 0.22238695329874 0.659532105525137 0.424853956452469 0.588686972101357 0.569916547934053 0.928505106778087 0.204276181397249 0.477620087336245 0.919084519733285 0.323101777059774 0.22238695329874 0.424853956452469 0.202122283981809 1.29938542581212 0.928505106778087 0.672153635116598 0.588686972101357 0.672153635116598 0.666971219735039
"with" 0.75208165457964 0.603578357404613 0.493827160493827 0.52920822308162 0.557103064066852 0 0.572578149179821 0.551470588235294 0.603578357404613 0 0.370644922164566 0.535092085614734 0.456718003186405 0.601484514973125 0.52920822308162 0.572578149179821 0.408552362794498 0.368449781659389 0.414489097134619 0.24232633279483 0.370644922164566 0.456718003186405 0.404244567963618 0.368744512730465 0.572578149179821 0.493827160493827 0.601484514973125 0.493827160493827 0.603015075376884
"but" 0.18802041364491 0.380829201695768 0.411522633744856 0.52920822308162 0.487465181058496 0.284090909090909 0.588053234292789 0.265522875816993 0.380829201695768 0.284090909090909 0.630096367679763 0.696864111498258 0.361125862984599 0.46071154338367 0.52920822308162 0.588053234292789 1.089472967452 0.368449781659389 0.684808073526762 0.807754442649435 0.630096367679763 0.361125862984599 0.505305709954523 0.403863037752414 0.588053234292789 0.411522633744856 0.46071154338367 0.411522633744856 0.50251256281407
"not" 0.32232070910556 0.395200114967306 0.46639231824417 0.79381233462243 0.8008356545961 1.13636363636364 0.464252553389044 0.469771241830065 0.395200114967306 1.13636363636364 0.259451445515196 0.497760079641613 0.30801911842804 0.46071154338367 0.79381233462243 0.464252553389044 0.721775840936947 0.477620087336245 0.558659217877095 0.0807754442649435 0.259451445515196 0.30801911842804 0.45477513895907 0.877963125548727 0.464252553389044 0.46639231824417 0.46071154338367 0.46639231824417 0.529922338967565
"can" 0.34918076819769 0.344901918516922 0.713305898491084 0.488499898229188 0.557103064066852 0.284090909090909 0.758279170535438 0.204248366013072 0.344901918516922 0.284090909090909 0.11119347664937 0.423096067695371 0.265533722782793 0.435116457640133 0.488499898229188 0.758279170535438 0.490262835353398 0.682314410480349 0.342404036763381 0.323101777059774 0.11119347664937 0.265533722782793 0.757958564931784 0.368744512730465 0.758279170535438 0.713305898491084 0.435116457640133 0.713305898491084 0.566468707172225
"it^s" 0.8058017727639 0.653876553854997 0.548696844993141 0.508854060655404 0.626740947075209 0.568181818181818 0.0773754255648406 0.959967320261438 0.653876553854997 0.568181818181818 0.296515937731653 0.510204081632653 0.584174190122146 0.28154594317891 0.508854060655404 0.0773754255648406 0.381315538608198 0.313864628820961 0.234276446206524 0.24232633279483 0.296515937731653 0.584174190122146 0.101061141990904 1.12379280070237 0.0773754255648406 0.548696844993141 0.28154594317891 0.548696844993141 0.392873458200091
"are" 0.34918076819769 0.294603722066537 0.425240054869685 0.549562385507836 0.591922005571031 0 0.619003404518725 0.551470588235294 0.294603722066537 0 0.296515937731653 0.622200099552016 0.276155071694105 0.486306629127208 0.549562385507836 0.619003404518725 0.612828544191747 0.72325327510917 0.522616687691476 0.888529886914378 0.296515937731653 0.276155071694105 0.202122283981809 0.684811237928007 0.619003404518725 0.425240054869685 0.486306629127208 0.425240054869685 0.53905893101873
"i^m" 0.21488047273704 0.704174750305382 0.877914951989026 0.79381233462243 0.974930362116992 0.852272727272727 0.0928505106778087 0.571895424836601 0.704174750305382 0.852272727272727 0.370644922164566 0.497760079641613 0.201805629314923 0.179165600204761 0.79381233462243 0.0928505106778087 0.503881247446548 0.368449781659389 0.0901063254640476 0.646203554119548 0.370644922164566 0.201805629314923 0.151591712986357 0.438981562774363 0.0928505106778087 0.877914951989026 0.179165600204761 0.877914951989026 0.456829602558246
"was" 0.2686005909213 0.531723791046921 0.37037037037037 0.162833299409729 0.278551532033426 0.852272727272727 0.835654596100279 0.224673202614379 0.531723791046921 0.852272727272727 0.555967383246849 0.572424091587855 0.276155071694105 0.345533657537753 0.162833299409729 0.835654596100279 0.326841890235599 0.259279475982533 1.04523337538295 0 0.555967383246849 0.276155071694105 0.45477513895907 0.421422300263389 0.835654596100279 0.37037037037037 0.345533657537753 0.37037037037037 0.420283234353586
"at" 0.13430029546065 0.445498311417691 0.754458161865569 0.346020761245675 0.417827298050139 0.284090909090909 0.588053234292789 0.183823529411765 0.445498311417691 0.284090909090909 0.33358042994811 0.223992035838726 0.456718003186405 0.435116457640133 0.346020761245675 0.588053234292789 0.367697126515048 0.313864628820961 0.144170120742476 0.0807754442649435 0.33358042994811 0.456718003186405 0.404244567963618 0.333625987708516 0.588053234292789 0.754458161865569 0.435116457640133 0.754458161865569 0.338053905893102
"don^t" 0.2686005909213 0.502981964503844 0.548696844993141 0.732749847343782 0.905292479108635 0.568181818181818 0.0464252553389044 0.592320261437909 0.502981964503844 0.568181818181818 0.0741289844329133 0.597312095569935 0.265533722782793 0.230355771691835 0.732749847343782 0.0464252553389044 0.503881247446548 0.72325327510917 0.324382771670571 0.646203554119548 0.0741289844329133 0.265533722782793 0.0505305709954522 1.33450395083407 0.0464252553389044 0.548696844993141 0.230355771691835 0.548696844993141 0.255824577432618
"if" 0.45662100456621 0.438312854781921 0.397805212620027 0.610624872786485 0.661559888579387 1.42045454545455 0.386877127824203 0.449346405228758 0.438312854781921 1.42045454545455 0.889547813194959 0.547536087605774 0.223048327137546 0.332736114665984 0.610624872786485 0.386877127824203 0.367697126515048 0.54585152838428 0.342404036763381 0.565428109854604 0.889547813194959 0.223048327137546 0.555836280949975 0.333625987708516 0.386877127824203 0.397805212620027 0.332736114665984 0.397805212620027 0.301507537688442
"do" 1.04754230459307 0.323345548609614 0.178326474622771 0.569916547934053 0.487465181058496 0.284090909090909 0.541627978953884 0.224673202614379 0.323345548609614 0.284090909090909 0.185322461082283 0.41065206570433 0.435475305363781 0.307141028922447 0.569916547934053 0.541627978953884 0.381315538608198 0.750545851528384 0.576680482969904 0.888529886914378 0.185322461082283 0.435475305363781 0.45477513895907 1.01843722563652 0.541627978953884 0.178326474622771 0.307141028922447 0.178326474622771 0.219278209227958
"know" 0.21488047273704 0.431127398146152 0.438957475994513 0.671687360065133 0.696378830083565 0.284090909090909 0.139275766016713 0.347222222222222 0.431127398146152 0.284090909090909 0.11119347664937 0.39820806371329 0.223048327137546 0.255950857435372 0.671687360065133 0.139275766016713 0.272368241862999 1.09170305676856 0.504595422598666 0.726978998384491 0.11119347664937 0.223048327137546 0.45477513895907 1.01843722563652 0.139275766016713 0.438957475994513 0.255950857435372 0.438957475994513 0.411146642302421
"so" 0.32232070910556 0.459869224689229 0.246913580246914 0.284958273967026 0.174094707520891 0.852272727272727 0.433302383163107 0.490196078431373 0.459869224689229 0.852272727272727 0.370644922164566 0.634644101543056 0.424853956452469 0.255950857435372 0.284958273967026 0.433302383163107 0.571973307912297 0.695960698689956 0.252297711299333 0.969305331179321 0.370644922164566 0.424853956452469 0.404244567963618 0.263388937664618 0.433302383163107 0.246913580246914 0.255950857435372 0.246913580246914 0.383736866148926
"one" 0.24174053182917 0.467054681324998 0.384087791495199 0.427437410950539 0.452646239554318 0.284090909090909 0.371402042711235 0.490196078431373 0.467054681324998 0.284090909090909 0.44477390659748 0.510204081632653 0.223048327137546 0.396723829024827 0.427437410950539 0.371402042711235 0.490262835353398 0.313864628820961 0.612723013155523 0.0807754442649435 0.44477390659748 0.223048327137546 0.555836280949975 0.19315188762072 0.371402042711235 0.384087791495199 0.396723829024827 0.384087791495199 0.438556418455916
"now" 0.21488047273704 0.352087375152691 0.315500685871056 0.366374923671891 0.174094707520891 0.284090909090909 0.216651191581554 0.265522875816993 0.352087375152691 0.284090909090909 0.22238695329874 0.472872075659532 0.467339352097716 0.499104171998976 0.366374923671891 0.216651191581554 0.463026011167098 0.818777292576419 0.396467832041809 0 0.22238695329874 0.467339352097716 0.202122283981809 0.544337137840211 0.216651191581554 0.315500685871056 0.499104171998976 0.315500685871056 0.283234353586112
"will" 0.24174053182917 0.287418265430768 0.274348422496571 0.26460411154081 0.348189415041783 0 0.371402042711235 0.531045751633987 0.287418265430768 0 0.22238695329874 0.485316077650572 0.318640467339352 0.6526746864602 0.26460411154081 0.371402042711235 0.381315538608198 0.491266375545852 0.432510362227428 0.161550888529887 0.22238695329874 0.318640467339352 0.353713996968166 0.19315188762072 0.371402042711235 0.274348422496571 0.6526746864602 0.274348422496571 0.447693010507081
"him" 0.56406124093473 0.165265502622692 0.850480109739369 0.203541624262162 0.278551532033426 0 0.263076446920458 0.14297385620915 0.165265502622692 0 0.0370644922164566 0.186660029865605 0.361125862984599 0.115177885845918 0.203541624262162 0.263076446920458 0.0680920604657497 1.09170305676856 0.630744278248333 0.888529886914378 0.0370644922164566 0.361125862984599 0 0.755048287971905 0.263076446920458 0.850480109739369 0.115177885845918 0.850480109739369 0.301507537688442
"when" 0.42976094547408 0.287418265430768 0.329218106995885 0.52920822308162 0.557103064066852 0 0.789229340761374 0.326797385620915 0.287418265430768 0 0.296515937731653 0.236436037829766 0.286776420605417 0.255950857435372 0.52920822308162 0.789229340761374 0.354078714421898 0.286572052401747 0.198233916020905 0.323101777059774 0.296515937731653 0.286776420605417 0.757958564931784 0.175592625109745 0.789229340761374 0.329218106995885 0.255950857435372 0.329218106995885 0.228414801279123
"there" 1.04754230459307 0.287418265430768 0.301783264746228 0.284958273967026 0.348189415041783 0 0.619003404518725 0.0408496732026144 0.287418265430768 0 0.33358042994811 0.423096067695371 0.329261816250664 0.435116457640133 0.284958273967026 0.619003404518725 0.299605066049299 0.122816593886463 0.126148855649667 0.0807754442649435 0.33358042994811 0.329261816250664 0.252652854977261 0.403863037752414 0.619003404518725 0.301783264746228 0.435116457640133 0.301783264746228 0.237551393330288
"love" 0.21488047273704 0.237120068980384 0.233196159122085 0.712395684917566 0.522284122562674 0.568181818181818 0 1.04166666666667 0.237120068980384 0.568181818181818 0.0741289844329133 0.983076157292185 0.573552841210834 0.358331200409521 0.712395684917566 0 0.326841890235599 0.218340611353712 0.144170120742476 1.53473344103393 0.0741289844329133 0.573552841210834 0 0.175592625109745 0 0.233196159122085 0.358331200409521 0.233196159122085 0.0730927364093193
"her" 0.10744023636852 0.53890924768269 0.0274348422496571 0.0610624872786485 0.0348189415041783 0 0.154750851129681 0.0612745098039216 0.53890924768269 0 0.259451445515196 0.559980089596814 0.339883165161976 0.563091886357819 0.0610624872786485 0.154750851129681 0.449407599073948 0.150109170305677 0.0720850603712381 0 0.259451445515196 0.339883165161976 0 0.438981562774363 0.154750851129681 0.0274348422496571 0.563091886357819 0.0274348422496571 1.00502512562814
"just" 0.29546065001343 0.502981964503844 0.37037037037037 0.366374923671891 0.383008356545961 0 0.154750851129681 0.469771241830065 0.502981964503844 0 0.407709414381023 0.298656047784968 0.435475305363781 0.0639877143588431 0.366374923671891 0.154750851129681 0.340460302328748 0.354803493449782 0.252297711299333 0.323101777059774 0.407709414381023 0.435475305363781 0.707427993936331 0.438981562774363 0.154750851129681 0.37037037037037 0.0639877143588431 0.37037037037037 0.137048880767474
"up" 0.21488047273704 0.380829201695768 0.205761316872428 0.244249949114594 0.278551532033426 0.568181818181818 0.928505106778087 0.367647058823529 0.380829201695768 0.568181818181818 0.593031875463306 0.111996017919363 0.169941582580988 0.0767852572306117 0.244249949114594 0.928505106778087 0.217894593490399 0.177401746724891 0.270318976392143 0 0.593031875463306 0.169941582580988 0.151591712986357 0.702370500438982 0.928505106778087 0.205761316872428 0.0767852572306117 0.205761316872428 0.228414801279123
"see" 0.29546065001343 0.323345548609614 0.37037037037037 0.366374923671891 0.174094707520891 0 0.185701021355617 0.122549019607843 0.323345548609614 0 0.185322461082283 0.311100049776008 0.361125862984599 0.28154594317891 0.366374923671891 0.185701021355617 0.149802533024649 0.85971615720524 0.234276446206524 0.484652665589661 0.185322461082283 0.361125862984599 0.353713996968166 0.509218612818262 0.185701021355617 0.37037037037037 0.28154594317891 0.37037037037037 0.328917313841937
"as" 0.48348106365834 0.287418265430768 0.150891632373114 0.284958273967026 0.383008356545961 0.284090909090909 0.588053234292789 0.0612745098039216 0.287418265430768 0.284090909090909 0.296515937731653 0.223992035838726 0.265533722782793 0.268748400307141 0.284958273967026 0.588053234292789 0.490262835353398 0.122816593886463 0.324382771670571 0 0.296515937731653 0.265533722782793 0.252652854977261 0.245829675153644 0.588053234292789 0.150891632373114 0.268748400307141 0.150891632373114 0.648698035632709
"his" 0.18802041364491 0.265861895523461 0.342935528120713 0.142479136983513 0.104456824512535 0.284090909090909 0.773754255648406 0.0816993464052288 0.265861895523461 0.284090909090909 0.0370644922164566 0.174216027874564 0.138077535847053 0.383926286153059 0.142479136983513 0.773754255648406 0.177039357210949 0.13646288209607 0.919084519733285 0.0807754442649435 0.0370644922164566 0.138077535847053 0.0505305709954522 0.122914837576822 0.773754255648406 0.342935528120713 0.383926286153059 0.342935528120713 0.447693010507081
"like" 0.37604082728982 0.244305525616153 0.219478737997257 0.610624872786485 0.522284122562674 0.284090909090909 0.448777468276076 0.469771241830065 0.244305525616153 0.284090909090909 0.518902891030393 0.348432055749129 0.148698884758364 0.153570514461223 0.610624872786485 0.448777468276076 0.340460302328748 0.286572052401747 0.216255181113714 0.807754442649435 0.518902891030393 0.148698884758364 0.404244567963618 0.368744512730465 0.448777468276076 0.219478737997257 0.153570514461223 0.219478737997257 0.237551393330288
"she" 0.02686005909213 0.474240137960767 0.0137174211248285 0.0203541624262162 0 0 0.201176106468586 0.0204248366013072 0.474240137960767 0 0.33358042994811 0.41065206570433 0.48858204992034 0.268748400307141 0.0203541624262162 0.201176106468586 0.789867901402696 0.040938864628821 0.216255181113714 0 0.33358042994811 0.48858204992034 0 0.38630377524144 0.201176106468586 0.0137174211248285 0.268748400307141 0.0137174211248285 0.721790772042028
"come" 0.24174053182917 0.301789178702307 0.274348422496571 0.203541624262162 0.313370473537604 0 0.355926957598267 0.204248366013072 0.301789178702307 0 0.185322461082283 0.286212045793927 0.286776420605417 0.358331200409521 0.203541624262162 0.355926957598267 0.1089472967452 0.382096069868996 0.144170120742476 0.0807754442649435 0.185322461082283 0.286776420605417 0.202122283981809 0.983318700614574 0.355926957598267 0.274348422496571 0.358331200409521 0.274348422496571 0.127912288716309
"here" 0.2686005909213 0.251490982251922 0.109739368998628 0.346020761245675 0.174094707520891 0.568181818181818 0.0309501702259362 0.14297385620915 0.251490982251922 0.568181818181818 0.33358042994811 0.547536087605774 0.541688794476899 0.435116457640133 0.346020761245675 0.0309501702259362 0.190657769304099 0.177401746724891 0.0901063254640476 0.888529886914378 0.33358042994811 0.541688794476899 0 0.38630377524144 0.0309501702259362 0.109739368998628 0.435116457640133 0.109739368998628 0.493375970762905
"you^re" 0.40290088638195 0.330531005245383 0.246913580246914 0.549562385507836 0.870473537604457 0 0.0928505106778087 0.531045751633987 0.330531005245383 0 0.44477390659748 0.472872075659532 0.191184280403611 0.0639877143588431 0.549562385507836 0.0928505106778087 0.299605066049299 0.518558951965066 0.126148855649667 0.161550888529887 0.44477390659748 0.191184280403611 0.0505305709954522 0.456540825285338 0.0928505106778087 0.246913580246914 0.0639877143588431 0.246913580246914 0.210141617176793
